,school,stemidenpre,stemidenpost,gender,parentedu,workhrs,workspace,completion,totalpre,totalpost,totaldiff,stemIDchange,racecat
1,RU,2,2,0,1,0,3,1,3,4,1,0,0
2,NSCC,6,6,0,1,4,3,1,5,4,-1,0,0
3,RU,5,4,0,0,1,0,0,4,3,-1,-1,0
4,RU,2,6,0,0,2,2,0,4,5,1,4,0
5,RU,3,3,1,0,0,2,3,2,4,2,0,0
6,DTCC,3,3,0,0,3,2,2,7,7,0,0,0
7,QU,2,6,0,1,0,3,1,4,7,3,4,0
8,NSCC,4,4,1,1,0,3,3,7,3,-4,0,4
9,QU,4,3,0,0,4,2,1,8,7,-1,-1,0
10,QU,4,5,0,0,0,0,1,7,7,0,1,0
11,QU,5,4,0,1,2,3,0,6,7,1,-1,2
12,NSCC,1,1,0,1,4,3,1,2,2,0,0,0
13,QU,2,2,1,0,0,2,1,9,8,-1,0,6
14,RU,1,3,0,1,2,0,1,5,5,0,2,1
15,RU,3,5,0,0,1,2,0,1,3,2,2,0
16,RU,3,3,0,0,0,2,1,5,3,-2,0,0
17,RU,4,4,0,0,0,2,1,3,6,3,0,0
18,NSCC,3,1,0,0,4,3,0,2,3,1,-2,0
19,RU,2,3,0,1,1,2,1,5,7,2,1,0
20,QU,6,4,1,0,0,3,0,6,8,2,-2,0
21,RU,6,5,0,0,4,2,1,3,5,2,-1,0
22,RU,2,4,0,1,2,2,1,6,5,-1,2,2
23,RU,5,7,0,0,0,2,1,2,6,4,3,1
24,QU,3,2,0,1,2,2,1,10,10,0,-1,0
25,NSCC,5,5,0,1,4,3,2,4,2,-2,0,1
26,RU,5,6,1,0,0,0,1,5,4,-1,1,0
27,QU,1,2,0,0,1,0,1,6,7,1,1,0
28,RU,3,4,1,1,0,2,1,6,7,1,1,0
29,RU,2,2,0,1,1,3,1,5,4,-1,0,NA
30,QU,3,5,0,0,0,2,0,7,7,0,2,3
31,QU,6,5,0,1,0,2,1,4,8,4,-1,0
32,QU,2,6,0,NA,0,2,1,5,8,3,4,0
33,RU,1,2,0,0,1,3,0,5,7,2,1,0
34,RU,3,3,1,1,2,2,1,4,5,1,0,0
35,DTCC,5,6,0,1,3,3,2,6,8,2,1,0
36,RU,3,3,0,0,2,2,1,6,5,-1,0,0
37,QU,4,5,0,1,1,0,1,6,9,3,1,0
38,QU,7,7,0,0,1,0,1,7,7,0,0,3
39,QU,4,5,0,0,2,3,3,6,8,2,1,0
40,QU,4,6,0,0,2,2,1,5,6,1,2,2
41,RU,4,4,0,0,2,0,0,2,3,1,0,6
42,QU,6,7,1,0,0,0,1,9,10,1,1,0
43,RU,2,5,0,0,0,2,0,3,9,6,3,0
44,DTCC,5,5,0,0,2,2,1,5,5,0,0,1
45,QU,5,4,0,1,1,2,1,8,9,1,-1,0
46,QU,3,4,0,0,0,0,0,7,10,3,1,0
47,RU,2,4,0,0,4,2,0,8,6,-2,2,0
48,DTCC,6,6,0,0,4,3,3,5,6,1,0,2
49,RU,4,5,0,0,0,3,1,7,7,0,1,1
50,QU,6,6,1,1,2,0,1,4,5,1,0,0
51,QU,2,2,0,0,0,2,1,4,9,5,0,1
52,DTCC,2,2,1,NA,0,3,1,5,4,-1,0,1
53,RU,2,2,0,1,3,3,3,6,7,1,0,0
54,DTCC,3,4,1,1,3,3,1,3,2,-1,1,0
55,RU,1,3,0,1,0,0,1,3,3,0,2,1
56,QU,6,6,0,0,0,3,0,5,5,0,0,0
57,RU,1,1,0,0,0,2,3,3,4,1,0,0
58,RU,2,2,0,1,0,2,3,4,6,2,0,0
59,RU,3,2,0,1,0,2,1,5,7,2,-1,2
60,RU,4,1,0,0,0,2,1,3,1,-2,-3,0
61,DTCC,1,2,1,1,0,3,2,8,10,2,1,0
62,RU,2,2,0,0,0,3,1,6,3,-3,0,0
63,RU,4,6,0,1,2,2,1,3,2,-1,2,0
64,QU,5,5,0,1,3,2,1,5,7,2,0,0
65,RU,2,1,0,0,0,2,3,7,2,-5,-1,0
66,DTCC,5,5,0,0,2,3,1,6,9,3,0,0
67,QU,6,7,1,0,1,0,1,7,8,1,1,0
68,QU,2,1,0,1,1,2,0,4,4,0,-1,1
69,QU,2,2,1,0,NA,3,1,6,4,-2,0,6
70,RU,1,1,0,0,4,3,3,4,2,-2,0,1
71,RU,3,4,0,0,3,2,1,7,7,0,1,0
72,QU,3,3,0,0,2,2,1,5,8,3,0,0
73,RU,1,2,0,0,3,2,1,5,6,1,1,1
74,RU,3,4,0,1,0,2,1,6,5,-1,1,1
75,RU,1,1,0,0,2,3,1,5,3,-2,0,6
76,RU,4,5,0,1,2,2,1,6,4,-2,1,0
77,NSCC,4,4,0,0,0,2,3,4,4,0,0,0
78,RU,3,4,1,0,0,2,1,5,6,1,1,0
79,RU,1,4,1,0,0,3,1,7,5,-2,3,6
80,QU,2,2,0,1,4,3,1,8,6,-2,0,0
81,DTCC,3,3,1,0,2,2,2,7,8,1,0,0
82,DTCC,2,2,0,1,1,0,3,3,3,0,0,2
83,RU,2,2,0,1,3,2,1,8,5,-3,0,0
84,RU,3,4,0,0,1,2,1,1,2,1,1,3
85,RU,2,2,1,0,1,2,0,7,6,-1,0,2
86,QU,4,6,1,0,0,2,1,8,10,2,2,0
87,RU,6,4,0,0,4,2,1,5,7,2,-2,0
88,RU,4,5,0,1,2,3,1,4,4,0,1,3
89,NSCC,3,3,0,0,0,0,2,7,8,1,0,0
